clim_project,model,member,horizon,scenario,stats,spatial_ref,tavg,pet,prcp
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp126,mean,0,,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp245,mean,0,2.96380806,7.03549099,10.96091884
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp370,mean,0,,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,far,ssp585,mean,0,4.588640213,4.544974804,18.94735217
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp126,mean,0,,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp245,mean,0,2.092586517,3.396901131,9.558496472
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp370,mean,0,,,
cmip6,AS-RCEC/TaiESM1,r1i1p1f1,near,ssp585,mean,0,2.783281326,4.017271519,6.900918642
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,far,ssp126,mean,0,1.204362869,-1.895653248,14.34694108
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,far,ssp245,mean,0,2.124807358,2.226698637,10.49530215
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,far,ssp370,mean,0,2.574140549,-3.140187979,4.784750518
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,far,ssp585,mean,0,3.632472992,-0.666987777,15.62709806
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,near,ssp126,mean,0,1.197582245,0.836622417,8.805021633
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,near,ssp245,mean,0,1.523750305,-0.759352326,3.564709929
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,near,ssp370,mean,0,1.653749466,-1.659989357,1.207398954
cmip6,CMCC_CMCC-CM2-SR5,r1i1p1f1,near,ssp585,mean,0,2.140304565,-0.60632056,6.732819259
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp126,mean,0,,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp245,mean,0,3.197141647,5.16543293,19.6621054
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp370,mean,0,4.486059189,4.973927021,6.156964373
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,far,ssp585,mean,0,,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp126,mean,0,,,
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp245,mean,0,2.306194305,2.600632906,13.43847767
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp370,mean,0,2.580360413,2.412108421,7.869037008
cmip6,CSIRO-ARCCSS/ACCESS-CM2,r1i1p1f1,near,ssp585,mean,0,,,
cmip6,INM_INM-CM4-8,r1i1p1f1,far,ssp126,mean,0,0.575687408,1.362356067,7.932162863
cmip6,INM_INM-CM4-8,r1i1p1f1,far,ssp245,mean,0,1.318471909,2.18304944,14.62079627
