strid,Lobith,Cologne,Kaub,Worms,Maxau,Basel
1,2168.34317291139,2042.3372402002103,1667.1051383623485,1431.2777424006176,1259.358650654339,1062.451239141237
2,1729.231192860329,1637.4736026465116,1353.5865706517484,1178.2345471115516,1046.7831492251628,878.2324016483749
3,2119.280548376774,1996.8428499918964,1637.951330526099,1411.1954426464529,1240.7421036307978,1022.1652213875628
4,2529.144922747845,2368.9510297939337,1937.5862763623893,1649.7697289543544,1438.2170680687486,1168.7584493693812
5,2947.6353566626512,2761.720036268536,2257.0858055831927,1899.1307143590975,1638.4901043585903,1319.7326806921903
6,1331.9884541383876,1266.435947368798,1053.983940672606,931.2234373796492,845.4195220050049,734.4933873349139
7,1696.4256074082966,1609.877657284626,1331.915510461102,1155.2206154480225,1034.6958599552186,883.781250963626
8,2086.6499509816554,1966.243044826269,1609.8969964124308,1384.3387577691324,1226.5177944103386,1034.183053241068
9,2485.6373763815013,2332.7276648534144,1907.9435809277393,1625.4514276275731,1425.395869455418,1184.6215768860814
10,2903.063984491397,2719.309180190342,2222.968923543662,1874.620064125515,1629.3788359388616,1338.3481915866112
11,1303.6853351357568,1242.6771562780852,1039.0649125647667,919.6117291064857,835.1463758768944,727.9695789722273
12,1660.8886818869246,1570.4194225557687,1310.4693802202828,1137.0587031085065,1020.5587237081264,876.7060036680887
13,2043.7426187599851,1928.2391890900976,1588.533059482737,1364.168145852745,1213.202747610442,1030.5430727500266
14,2437.1101170169786,2292.8911082426844,1878.1499126454376,1605.2550611743245,1410.2041748056588,1186.3293404340163
15,2866.653900250926,2681.117334592346,2187.583318081309,1852.1678492186668,1613.106947124419,1342.3822246947148
16,1279.1928545131002,1219.184362869015,1022.5623431647856,909.1035931523644,825.1789315642714,722.4252924699081
17,1633.916201494498,1547.4319463739942,1288.046006360127,1123.9462776129265,1009.8865068297498,868.1591738332801
18,2005.267180275908,1893.774112347278,1566.295746456032,1351.257678193847,1201.5551834514768,1023.3361504042066
19,2401.3350442513324,2256.525555288151,1846.2422692238936,1585.546919793749,1398.6940658352523,1180.7797822230336
20,2826.572489351179,2649.9197912178306,2149.0940499916223,1826.000548540954,1594.4123569224205,1339.5190195206717
